error_type,bucket,id,repo,title,true_priority,pred_priority,priority_conf,true_labels,pred_labels,missed_labels,fp_labels,label_max_prob,note
label_fn,noisy_body,2656955280,deno,"deno 2 mishandles ""@types/"" installs for ""npm:"" packages",low,medium,0.632,bug,good first issue|issue: bug report,bug,,0.447,Relevant label buried under boilerplate or code.
label_fn,ambiguous,2535866119,vscode,MSYS2 git looks broken,low,medium,0.613,bug,(none),bug,,0.107,Issue text doesn't clearly signal the missing label.
label_fn,noisy_body,2230941843,deno,SIGTRAP with --unstable-temporal,low,medium,0.513,bug,feature-request,bug,,0.179,Relevant label buried under boilerplate or code.
label_fn,ambiguous,727198070,vscode,Dispatching KeyboardEvent on Webview fails to work only on Windows.,low,medium,0.635,bug|help wanted,bug|enhancement :sparkles:,help wanted,,0.191,Issue text doesn't clearly signal the missing label.
label_fn,ambiguous,1897655984,vscode,Editor is broken when opening files with >120M lines,low,low,0.819,feature-request,bug,feature-request,,0.321,Issue text doesn't clearly signal the missing label.
label_fn,ambiguous,1914265841,vscode,Icon picker: Pass left and right arrow events through when at the textbox boundaries,low,low,0.599,feature-request,enhancement|help wanted|terminal,feature-request,,0.256,Issue text doesn't clearly signal the missing label.
label_fp,ambiguous,2785853608,vscode,Adopt `CodeAction` type for built-in css server,low,low,0.836,(none),enhancement|feature-request|help wanted,,enhancement|feature-request|help wanted,0.183,Text superficially resembles this label's pattern.
label_fp,ambiguous,1654630885,vscode,vscode.workspace.findFiles returns nothing if executed early in extension startup,low,low,0.775,bug,bug|help wanted|terminal,,help wanted|terminal,0.383,Text superficially resembles this label's pattern.
label_fp,ambiguous,2426184517,vscode,Only one changed variable gets announced by screen reader,low,low,0.839,bug,bug|help wanted,,help wanted,0.23,Text superficially resembles this label's pattern.
label_fp,ambiguous,1431608491,vscode,[Accessibility] Open Folder dialog controls do not have accelerator keys,low,low,0.885,feature-request,help wanted|usability,,help wanted|usability,0.582,Text superficially resembles this label's pattern.
label_fp,ambiguous,2279174950,vscode,Maximizing the current editor while in zen mode causes current editor group size toggle state to be lost,low,low,0.885,bug,bug|enhancement|help wanted|usability,,enhancement|help wanted|usability,0.659,Text superficially resembles this label's pattern.
label_fp,too_short,2424526309,vscode,Improve Auto Update All (From Publisher) action experience,low,low,0.899,feature-request,enhancement,,enhancement,0.412,Short ambiguous text caused over-prediction.
label_fp,noisy_body,1549641993,svelte,Typescript doesn't catch using nonexistent fields on refs,low,low,0.85,(none),bug|help wanted,,bug|help wanted,0.797,Noisy body triggered false label pattern.
label_fp,noisy_body,2708907219,deno,Add `hidden` and `internal` task options,low,low,0.72,(none),enhancement|feature-request,,enhancement|feature-request,0.257,Noisy body triggered false label pattern.
label_fp,ambiguous,870989802,vscode,[folding] region ranges not restored when editor is opened the first time.,low,low,0.884,bug,enhancement|usability,,enhancement|usability,0.283,Text superficially resembles this label's pattern.
label_fp,ambiguous,2732297618,vscode,"3 monitor setup, settings dropdown not readable on fullscreen",low,low,0.631,bug,bug|help wanted|terminal,,help wanted|terminal,0.559,Text superficially resembles this label's pattern.
low_confidence,ambiguous,2269377905,vscode,Certain Edit menus should not be active without a selection (macOS),low,low,0.515,bug,discussion|terminal,,,0.173,Issue could plausibly be multiple priorities.
low_confidence,repo_jargon,2582961277,vscode,Vscode 1.94 Remote Server raises the min required GLIBC to 2.27,low,low,0.493,(none),(none),,,0.122,Repo jargon unfamiliar to model.
low_confidence,ambiguous,1035779236,tauri,More native menu items,low,medium,0.473,(none),enhancement|help wanted|idea-new powertoy,,,0.551,Issue could plausibly be multiple priorities.
low_confidence,ambiguous,2205945280,vscode,markdown cell status bar appears to be draggable but is not,low,low,0.513,bug,enhancement :sparkles:|help wanted,,,0.212,Issue could plausibly be multiple priorities.
low_confidence,ambiguous,2757484276,transformers,Training issues latest version,low,medium,0.583,bug,(none),,,0.101,Issue could plausibly be multiple priorities.
low_confidence,noisy_body,2130442867,transformers,Whisper Sequential long-form decoding doesn't work with timestamps per token,low,low,0.499,feature-request,bug,,,0.15,Long noisy body diffuses signal across classes.
low_confidence,ambiguous,1650127252,vscode,"[Extension Development] parsing exception in ""when"" clause should default to not showing corresponding entry",low,low,0.514,feature-request,bug|enhancement|terminal,,,0.338,Issue could plausibly be multiple priorities.
low_confidence,ambiguous,822237938,transformers,"Adding option to truncation from beginning instead of end, for both longest_first and longest_second",low,low,0.557,feature-request,enhancement|feature-request,,,0.807,Issue could plausibly be multiple priorities.
low_confidence,ambiguous,1966754120,vscode,"Wayland: Menu Bar ""Mixed"" on Multiple Window Instance",low,medium,0.479,bug,bug|terminal,,,0.58,Issue could plausibly be multiple priorities.
low_confidence,repo_jargon,1364920978,vscode,Can't sign into vscode.dev PWA on iOS,medium,low,0.561,bug,bug|help wanted,,,0.214,Repo jargon unfamiliar to model.
